ชื่องาน,กลุ่ม,ประเภท,สถานะ,ผู้รับผิดชอบ,วันที่,บริษัท,เวลา,สถานที่,ผู้เข้าร่วม,เตรียมล่วงหน้า(วัน),สิ่งที่ต้องเตรียม,การเกิดซ้ำ,รายละเอียด
HR - Weekly,งานประจำเดือน,ประชุม,รอดำเนินการ,วิม,2026-09-01,LeKise (LKL),14:00,ห้องประชุม HR,ทีม HR,1,สรุปงานประจำสัปดาห์,ทุกอังคาร,
LSC - Weekly,งานประจำเดือน,ประชุม,รอดำเนินการ,วิม,2026-09-01,LSC Center,13:15,LSC,ทีม LSC,1,อัปเดตความคืบหน้าหลักสูตร,ทุกอังคาร,
ประชุม Project Real,งานประจำเดือน,ประชุม,รอดำเนินการ,วิม,2026-09-02,LeKise (LKL),08:00,ห้องประชุมใหญ่,ทีมโปรเจค,1,,ทุกพุธ,
ประชุม TCS,งานประจำเดือน,ประชุม,รอดำเนินการ,วิม,2026-09-02,LeKise (LKL),08:20,,,0,,ทุกพุธ,
ประชุม SA/TA,งานประจำเดือน,ประชุม,รอดำเนินการ,วิม,2026-09-02,LeKise (LKL),08:40,,,0,,ทุกพุธ,
ประชุม Weekly IRR,งานประจำเดือน,ประชุม,รอดำเนินการ,วิม,2026-09-04,LeKise (LKL),08:00,,,1,,ทุกศุกร์,
ไหว้พระ,งานประจำเดือน,กิจกรรม,รอดำเนินการ,วิม,2026-09-04,LeKise (LKL),07:10,,,0,,ทุกศุกร์,
One HR Meeting,งานประจำเดือน,ประชุม,รอดำเนินการ,วิม,2026-09-17,LeKise (LKL),10:00,ห้องประชุมใหญ่,HR ทั้งกลุ่ม,5,สรุปภาพรวม HR ทุกบริษัทในเครือ,ทุกพฤหัสที่ 3,
SM HR Meeting,งานประจำเดือน,ประชุม,รอดำเนินการ,วิม,2026-09-14,LeKise (LKL),10:00,,ผู้บริหาร,3,วาระและเอกสารประกอบ,ทุกจันทร์ที่ 2,
ประชุม Excom LKT,งานประจำเดือน,ประชุม,รอดำเนินการ,วิม,2026-09-14,LeKise (LKL),08:00,,คณะผู้บริหาร,5,รายงานอัตรากำลังและ Turnover,ทุกจันทร์ที่ 2,
HR Group Meeting,งานประจำเดือน,ประชุม,รอดำเนินการ,วิม,2026-10-02,LeKise (LKL),15:00,,HR ทั้งกลุ่ม,3,สรุปงานประจำเดือน,ทุกศุกร์ที่ 1,
HAI Meeting,งานประจำเดือน,ประชุม,รอดำเนินการ,วิม,2026-10-02,LeKise (LKL),14:00,,,2,,ทุกศุกร์ที่ 1,
Performance Development Meeting,งานประจำเดือน,ประชุม,รอดำเนินการ,วิม,2026-09-10,LeKise (LKL),10:00,,ผู้บริหาร,7,ผลประเมินและแผนพัฒนารายบุคคล,ทุกพฤหัสที่ 2,
งานประชุมบอร์ดผู้บริหารในเครือ,กิจกรรมประจำปี,ประชุม,รอดำเนินการ,วิม,2026-11-20,LeKise (LKL),09:00,ห้องประชุมใหญ่,บอร์ดผู้บริหาร,14,รายงานประจำปีฝ่ายบุคคล,,รอบที่ 2
