ชื่องาน,กลุ่ม,ประเภท,สถานะ,ผู้รับผิดชอบ,วันที่,บริษัท,หมวด GL,งบ,หมวด GL รอง,งบรอง,ใช้จริง,เวลา,สถานที่,ผู้เข้าร่วม,เตรียมล่วงหน้า(วัน),สิ่งที่ต้องเตรียม,ป้ายกำกับ,สี,ผู้เข้าอบรม,ชั่วโมง,วิทยากร/สถาบัน,กรมพัฒฯ,การเกิดซ้ำ,รายละเอียด
Manager + Supervisor Meeting,งานประจำเดือน,ประชุม,รอดำเนินการ,HROD,2026-01-16,,,,,,,,,,3,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 16/01/2025)
"จ่ายโบนัสพนักงาน LKL , LKS , LKT , LKD , TRC , WTL , GEC (ผลประกอบการปี 2567)",งานประจำเดือน,ค่าตอบแทน,รอดำเนินการ,HRMS,2026-02-01,,,,,,,,,,,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 01/02/2025)
Manager + Supervisor Meeting,งานประจำเดือน,ประชุม,รอดำเนินการ,HROD,2026-03-13,,,,,,,,,,3,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 13/03/2025)
S Group Meeting,งานประจำเดือน,ประชุม,รอดำเนินการ,HROD,2026-01-17,,,,,,,,,,3,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 17/01/2025)
Manager + Supervisor Meeting,งานประจำเดือน,ประชุม,รอดำเนินการ,HROD,2026-02-13,,,,,,,,,,3,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 13/02/2025)
S Group Meeting,งานประจำเดือน,ประชุม,รอดำเนินการ,HROD,2026-03-21,,,,,,,,,,3,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 21/03/2025)
Executive Board Meeting 1/2568,งานประจำเดือน,ประชุม,รอดำเนินการ,HROD,2026-01-22,,,,,,,,,,3,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 22/01/2025)
ยื่น สท.2 กรมพัฒนาฝีมือแรงงาน,งานประจำเดือน,เอกสารราชการ,รอดำเนินการ,HROD,2026-02-14,,,,,,,,,,,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 14/02/2025)
ประเมิน Competency 1/2567 (Tryout System Traget Group HR),งานประจำเดือน,ประเมินผล,รอดำเนินการ,HROD,2026-03-20,,,,,,,,,,,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 20-21/03/2025)
คำนวณผลประโยชน์พนักงานประจำปี 2024 / ประเมินค่าจ้าง 5 วัน,งานประจำเดือน,ประเมินผล,รอดำเนินการ,HRMS,2026-01-09,,,,,,,,,,,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 09/01/2025)
อบรมหลักการทำงานของ LeKise Group,อบรมภายใน,อบรม,รอดำเนินการ,HROD,2026-02-18,,,,,,,,,,,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 18/02/2025)
"จ่ายโบนัสพนักงาน PRP , PRG (ผลประกอบการปี 2567)",งานประจำเดือน,ค่าตอบแทน,รอดำเนินการ,HRMS,2026-03-01,,,,,,,,,,,,Plan Monthly HR,,,,,,,"จากแผน Plan Monthly HR 2025 (เดิม 1/3/2025 , 16/3/2025)"
