ชื่อรายการ,หมวด,ตำแหน่ง/หน่วยงาน,บริษัทที่ต้องมี,ผู้รับผิดชอบ,วันที่ออก,วันหมดอายุ,รอบทบทวน(เดือน),ไม่มีวันหมดอายุ,เงื่อนไข/หมายเหตุ
คนงานควบคุมก๊าซประจำโรงงาน,ใบรับรอง / ผู้รับผิดชอบเฉพาะ,แผนก Utility,LKS,,,,,,
ผู้ปฏิบัติงานสถานที่ใช้ก๊าซปิโตรเลียมเหลว,ใบรับรอง / ผู้รับผิดชอบเฉพาะ,ผู้จัดการฝ่ายซ่อมบำรุงและไฟฟ้า,LKS,,,,,,
ผู้รับผิดชอบด้านพลังงานสามัญ,ใบรับรอง / ผู้รับผิดชอบเฉพาะ,ผู้จัดการฝ่ายผลิต,LKS,,,,,,
ผู้รับผิดชอบด้านพลังงานอาวุโส (ผอส.),ใบรับรอง / ผู้รับผิดชอบเฉพาะ,ผู้จัดการฝ่ายผลิต,LKS,คุณเก่ง สาธิต บรรจงพินิจ / คุณอาร์ต อาเขต สว่างจันทร์,2024-04-02,,,TRUE,หากเปลี่ยนตัวหรือผู้รับผิดชอบลาออก ต้องแจ้งพ้นหน้าที่และแต่งตั้ง ผอส./ผชร. คนใหม่ภายใน 90 วัน
ความปลอดภัยในการทำงานเกี่ยวกับไฟฟ้า สำหรับลูกจ้างที่ปฏิบัติงานเกี่ยวกับไฟฟ้า,ใบรับรอง / ผู้รับผิดชอบเฉพาะ,แผนกไฟฟ้าและแผนกที่เกี่ยวข้อง,"LKL, LKS",,,,12,,กฎหมายให้ทบทวนอย่างน้อยปีละ 1 ครั้ง · ใบรับรองความรู้ความสามารถ (บัตรช่างไฟ) อายุ 3 ปี
การขับรถโฟล์คลิฟท์อย่างปลอดภัยและถูกวิธี (Forklift),ใบรับรอง / ผู้รับผิดชอบเฉพาะ,บุคลากรที่ใช้รถโฟล์คลิฟท์,"LKL, LKS",,,,12,,ใบอนุญาตไม่มีกำหนดอายุ แต่ต้องอบรมทบทวนอย่างน้อยปีละ 1 ครั้ง และต่ออายุทุก 3 ปี
การปฐมพยาบาลเบื้องต้น (First Aid),ใบรับรอง / ผู้รับผิดชอบเฉพาะ,เจ้าหน้าที่ทุกตำแหน่งงาน,"LKL, LKS, LKT",,,,24,,จัดทบทวนทุก 2 ปี
ความปลอดภัยในการทำงานกับสารเคมีอันตรายและการตอบโต้เหตุฉุกเฉิน,ใบรับรอง / ผู้รับผิดชอบเฉพาะ,ผู้รับผิดชอบการเก็บรักษาและใช้วัตถุอันตราย,"LKL, LKS",,,,,,
ความปลอดภัยในการเชื่อม,ใบรับรอง / ผู้รับผิดชอบเฉพาะ,พนักงานเชื่อมทั้งหมด,LKL,,,,,,
โรคจากการประกอบอาชีพและสิ่งแวดล้อมตามกฎหมาย,ใบรับรอง / ผู้รับผิดชอบเฉพาะ,เจ้าหน้าที่ทุกตำแหน่งงาน,"LKL, LKS",,,,,,จป.วิชาชีพ ให้ความรู้และอบรมลูกจ้างก่อนทำงานและระหว่างทำงาน
