ชื่องาน,กลุ่ม,ประเภท,สถานะ,ผู้รับผิดชอบ,วันที่,บริษัท,หมวด GL,งบ,ใช้จริง,ผู้เข้าอบรม,ชั่วโมง,วิทยากร/สถาบัน,กรมพัฒฯ,การเกิดซ้ำ,รายละเอียด
Performance Development Meeting,งานประจำเดือน,ประชุม,กำลังดำเนินการ,วิม,รายเดือน,,,0,0,,,,,,
Well Care Clinic: เจาะน้ำตาล,กิจกรรมประจำปี,กิจกรรม,กำลังดำเนินการ,วิม / ขวัญ,รายเดือน,,711100000: สวัสดิการ-พนักงาน สำนักงาน,11250,2332,,,,,,
นัดประชุม One Hr Meeting,งานประจำเดือน,ประชุม,กำลังดำเนินการ,วิม,รายสัปดาห์,,,0,0,,,,,,
งานประชุมบอร์ดผู้บริหารในเครือ (รอบที่ 1),งานประจำเดือน,ประชุม,เสร็จสิ้น,ขวัญ,2026-01-21,,783100000 : ค่ารับรองและของขวัญ,5000,3811,,,,,,
นำส่ง สท.2 (กรมพัฒนาฝีมือแรงงาน),งานประจำเดือน,เอกสารราชการ,เสร็จสิ้น,วิม,2026-02-16,,,0,0,,,,,,
งานบวงสรวงศาลพระพรหม,กิจกรรมประจำปี,กิจกรรม,เสร็จสิ้น,ขวัญ / วิม,2026-02-18,,781800000: ค่าใช้จ่ายเบ็ดเตล็ด,40000,42189,,,,,,"เป็น Budget ของหมวด GL 781800000 ค่าใช้จ่ายเบ็ดเตล็ด
แต่ใน Budget HR มีข้อมูลขึ้นในหมวด 780900100 ค่าจัดเลี้ยงและสังสรรค์"
งานทำบุญบริษัทฯ ประจำปี,กิจกรรมประจำปี,กิจกรรม,เสร็จสิ้น,ขวัญ / วิม,2026-02-27,,781800000: ค่าใช้จ่ายเบ็ดเตล็ด,25000,20429,,,,,,
Audit ก. นักซ่อม,งานประจำเดือน,อื่นๆ,เสร็จสิ้น,วิม,2026-03-04,,,0,0,,,,,,
ตรวจสุขภาพ (รอบย่อย),งานประจำเดือน,สุขภาพ,เสร็จสิ้น,ขวัญ / วิม,2026-03-05,,711100000: สวัสดิการ-พนักงาน สำนักงาน,40000,28750,,,,,,
ลูกค้า SA/TA เข้าสัมนาที่บริษัทฯ,งานประจำเดือน,อื่นๆ,เสร็จสิ้น,วิม / พี่เยาว์ / พี่ต้อม SA,2026-03-26,,783100000 : ค่ารับรองและของขวัญ,8918,135,,,,,,
งานสงกรานต์,กิจกรรมประจำปี,กิจกรรม,กำลังดำเนินการ,วิม,2026-04-10,,780900000: ค่าจัดงานกิจกรรมนันทนาการ,15000,14691,,,,,,รายละเอียดงาน
ดับเพลิงขั้นต้น,อบรมตามกฎหมาย,อบรม,กำลังดำเนินการ,วิม,,,785000000 : ค่าอบรมและสัมมนา-โรงงาน,37800,0,,,,รอยื่น,,ใบเสนอราคา
ฝึกซ้อมอพยพหนีไฟ,อบรมตามกฎหมาย,อบรม,กำลังดำเนินการ,วิม,,,785000000 : ค่าอบรมและสัมมนา-โรงงาน,10000,0,,,,รอยื่น,,
