ชื่องาน,กลุ่ม,ประเภท,สถานะ,ผู้รับผิดชอบ,วันที่,บริษัท,งบ,ใช้จริง,รายละเอียด
Performance Development Meeting,งานประจำปี,ประชุม,กำลังดำเนินการ,วิม,รายเดือน,,,,
Well Care Clinic: เจาะน้ำตาล,งานประจำปี,กิจกรรม,กำลังดำเนินการ,วิม / ขวัญ,รายเดือน,,11250.0,2332.0,
นัดประชุม One Hr Meeting,งานประจำปี,ประชุม,กำลังดำเนินการ,วิม,รายสัปดาห์,,,,
งานประชุมบอร์ดผู้บริหารในเครือ (รอบที่ 1),งานประจำปี,ประชุม,เสร็จสิ้น,ขวัญ,2026-01-21,,5000.0,3811.0,
นำส่ง สท.2 (กรมพัฒนาฝีมือแรงงาน),งานประจำปี,เอกสารราชการ,เสร็จสิ้น,วิม,2026-02-16,,,,
งานบวงสรวงศาลพระพรหม,งานประจำปี,กิจกรรม,เสร็จสิ้น,ขวัญ / วิม,2026-02-18,,40000.0,42189.0,"เป็น Budget ของหมวด GL 781800000 ค่าใช้จ่ายเบ็ดเตล็ด
แต่ใน Budget HR มีข้อมูลขึ้นในหมวด 780900100 ค่าจัดเลี้ยงและสังสรรค์"
งานทำบุญบริษัทฯ ประจำปี,งานประจำปี,กิจกรรม,เสร็จสิ้น,ขวัญ / วิม,2026-02-27,,25000.0,20429.0,
Audit ก. นักซ่อม,งานประจำปี,อื่นๆ,เสร็จสิ้น,วิม,2026-03-04,,,,
ตรวจสุขภาพ (รอบย่อย),งานประจำปี,สุขภาพ,เสร็จสิ้น,ขวัญ / วิม,2026-03-05,,40000.0,28750.0,
ลูกค้า SA/TA เข้าสัมนาที่บริษัทฯ,งานประจำปี,อื่นๆ,เสร็จสิ้น,วิม / พี่เยาว์ / พี่ต้อม SA,2026-03-26,,8918.0,135.0,
งานสงกรานต์,งานประจำปี,กิจกรรม,กำลังดำเนินการ,วิม,2026-04-10,,15000.0,14691.0,รายละเอียดงาน
ดับเพลิงขั้นต้น,งานประจำปี,อบรม,กำลังดำเนินการ,วิม,,,37800.0,,ใบเสนอราคา
ฝึกซ้อมอพยพหนีไฟ,งานประจำปี,อบรม,กำลังดำเนินการ,วิม,,,10000.0,,
หลักการทำงานของ LeKise Group,งานประจำปี,อบรม,กำลังดำเนินการ,วิม,,,7200.0,,ทำเป็น Board Game อบรมให้เสร็จภายในครั้งวัน
ความปลอดภัยในการทํางานกับสารเคมีอันตรายฯ,งานประจำปี,อบรม,รอดำเนินการ,วิม,,,10400.0,,
ปั้นจั่น 4 ผู้ (Overhead Crane) ชนิดอยู่กับที่,งานประจำปี,อบรม,รอดำเนินการ,วิม,,,31500.0,,ติดตามแผนงานจากไลน์เสา (พี่เล็กอนันต์)
Team Building,งานประจำปี,อบรม,รอดำเนินการ,วิม,,,10550.0,,
กิจกรรม LeKise Family Day (ทุนการศึกษา SRT),งานประจำปี,กิจกรรม,รอดำเนินการ,นิว,2026-05-27,,25000.0,,
โรคจากการประกอบอาชีพและสิ่งแวดล้อมตามกฎหมาย,งานประจำปี,อบรม,รอดำเนินการ,วิม,,,5200.0,,
เกษียณอายุงานประจำปี 2026,งานประจำปี,กิจกรรม,รอดำเนินการ,แอน,2026-06-19,,12000.0,,
เลือกตั้งคณะกรรมการ คปอ.,งานประจำปี,เอกสารราชการ,รอดำเนินการ,ขวัญ,2026-06-30,,,,
เลือกตั้งคณะกรรมการสวัสดิการ,งานประจำปี,เอกสารราชการ,รอดำเนินการ,นิว,2026-06-30,,,,
การขับขี่รถโฟล์คลิฟท์อย่างถูกต้องและปลอดภัย (Forklift),งานประจำปี,อบรม,รอดำเนินการ,วิม,,,28250.0,,
